,smiles
54,C=CC=CC=CC=CC=CC=COC(C)=CC=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
55,C=CC(C)=CC=CC=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
56,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=C(C)OC=CC=CC=CC=CC=C(C)C=N)C1
57,CC=CC=CC=CC=CC=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
58,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=CC=C(C)OCOC=O)C1
59,CC=CC=CC=CC=CC=CC=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
60,CNC(C)=CC=CC=CC=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
61,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=C(C)OC=CC=CC=CC=CC=C(C)NN)C1
62,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=C(C)OC=CC=CC=CC=CC=CC(N)=O)C1
63,C=CC=CCC=CC=CC=CCC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
64,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=C(C)OC=O)C1
65,CC=CC=CC=CC=CC=CCC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
66,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=CC=CC=CC=C(C)C=CC=CC=C(C)C)C1
67,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=C(C)OC=CC=Cc2ccccc2C)C1
68,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=C(C)OC=CC=CC=CC=CC=CC=O)C1
69,CC=CC=CC=CCC(C)=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
70,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=C(C)OC=CC=CC=CC=CC=CC=O)C1
71,CC=CC=CC=CC=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
72,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=CC=CC=C(C)C=CC=CC=CC=C(C)C)C1
73,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=C(C)OC=CC=CC=CC=CC(=O)C=O)C1
74,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=C(C)OC=CC=CC=CC=CC=O)C1
75,CC=CC(C)=CC=CC=COC(C)=CC=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
76,C=CC=CC=CC=CC=CCC=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
77,CC=CC=CC=CC(C)C=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
78,C=COC(C)=CC=CC=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
79,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=C(C)OC=CC=CC=CC=CC=C(C)N)C1
80,C=CC=CC=CCC(C)=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
81,CCC=CC=CC=CC=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
82,C=CC(C)=CC=CC=COC(C)=CC=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
83,C=CC=CC=CC=CC=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
84,C=CC(=O)C=CC=CC=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
85,C=CC=Cc1ccccc1C=CC=CC=CC=CC=CC=CCCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
86,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=CC=C(COC)OCC
87,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=CC=C(C)OCOC
88,C=CC(O)=CN1C=COC1C(O)=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
89,CCCOC(C)=CC=COCC(O)=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
90,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)CC(O)COC=C(C)C
91,C=CC(O)=COCC(O)=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
92,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=C(O)COC=C(O)COC=C(O)C=C(C)O
93,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=CC=COC=C(C)C
94,CC=CC=CC=CC=CC=CC=CC=CCCC(F)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
95,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=C(O)COC=C(C)COC=C(O)C=C(C)O
96,C=CC(O)=CC(O)=COCC(O)=COCC(O)=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
97,CC=COC(C)=CC=COCC(O)=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
98,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=CC=C(C)CC
99,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=C(O)COC=C(C)COC=C(O)C=C(C)C
100,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)C1C=CC(O)=CO1
101,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=C(O)COC=C(O)C1C=CC(O)=CO1
102,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCCC=CC=CC=CC=CC=CC=CC=CC=Cc1ccccc1
103,C=CC(O)=CC(O)=COCC(C)=COCC(O)=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
104,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)C1OC=CN1C=C(C)CO
105,CCC=CC(O)=COCC(O)=COCC(O)=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
106,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=CC=C(CCO)COC
107,C=CC(C)=CC(O)=COCC(O)=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
108,CCC=CC(O)=COCC(O)=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
109,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=C(O)C=C(C)OC
110,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=CC=C(C)OCCO
111,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=CN=C(CO)COC
112,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=C(O)COC=C(O)COC=C(O)C=C(C)C
113,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COCOC=COC=C(C)OC
114,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=COC=C(CC)CO
115,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=C(O)C=C(C)O
116,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=C(O)COC=C(C)C1C=CC(O)=CO1
117,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=CC=C(C)C=O
118,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)C1OC=CN1C=C(O)CC
119,CC=CC(O)=COCC(O)=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
120,CC=CCC(O)=COCC(O)=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
121,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=C(O)COC=C(O)COC=C(O)C=C(C)OC
122,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)C1C#CC(O)=CO1
123,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=CC=C(COC)COC
124,C=CC(O)=CC(O)=COCC(O)=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
125,C=CC(=O)c1ccccc1C=CC=CC=CC=CC=CCCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
126,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=C(O)C=C(C)C
127,CC1=COCC(O)=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCCC=CC(O)=COC1
128,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=C(O)C=C(C)O
129,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=COC=C(C)OCO
130,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)C1OC=CN1C=C(C)C[NH]
131,C=CC=CC=CC(C)=CC=CC=CC=CC=CS(=O)CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
132,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)C1OC=CN1C=C(C)CC
133,C=CC=CC=COCC(C)=CC=COCC(O)C(C)=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
134,C=CC(=COC=COCC(O)=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC)CO
135,C=COC(C)=COCOOCC(O)=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
136,C=CC(C)=CN1C=COC1C(O)=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
137,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=C(O)COC=C(O)COC=C(O)C=C(C)O
138,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COOCOC=C(C)OCO
139,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COC=COC=C(C[NH])CO
140,CC#CC(O)=COCC(O)=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
141,C=CC(O)=COCC(C)C=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
142,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=C(O)COC=C(O)COC=C(O)C=CC=CCOC
143,C=CCOC(C)=CC=COCC(O)=CC(O)=CC=CCSCCCCCCCC(=O)N(C)CN(C)C(=O)CCOCCOCC
144,CCOCCOCCC(=O)N(C)CN(C)C(=O)CCCCCCCSCC=CC=C(O)C=C(O)COOCOC=C(C)OCC
145,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCOCC=CC=CC=CC=CC=CC=Cc2ccccc2C)C1
146,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CCC=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
147,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCOCCC=CC=CC=CC=CC=CC=Cc2ccccc2C)C1
148,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CCC=COCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
149,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=COCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
150,C=CC=CC1C=CC=CC1=CC=CC=CC=CC=CC=CC=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
151,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CCCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
152,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCCCCOC=CC=CC=CC=CC=Cc2ccccc2C)C1
153,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCOC=CC=CC=CC=CC=CC=CC=Cc2ccccc2C)C1
154,C=CC=CC=CC=CC=CC=CC=CC=CC=CCC=COCCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
155,C=CCC=CC=CC=CC=CC=CC=CC=CC=CCCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
156,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC)C1
157,C#CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=COCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
158,C=CCC=CC=CC=CC=CC=CC=CC=CC=CCC=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
159,C#CC=CC=CC=CC=CC=CC=CC=CC=COCCCCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
160,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCCC=CC=CC=CC=CC=CC=CC=Cc2ccccc2)C1
161,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CCOCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
162,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCC=CC=CC=CC=CC=CC=CC=CC=Cc2ccccc2)C1
163,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
164,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC)C1
165,C#CC=CC=CC=CC=CC=CC=CC=CC=CC=CCOCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
166,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCCOC=CC=CC=CC=CC=CC=Cc2ccccc2C)C1
167,C=CC=CC=CC=CC=CC=CC=CC=CC=COCCCCCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
168,C=CC=CC1C=CC=CC1=CC=CC=CC=CC=CC=CCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
169,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CCC=CC=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
170,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CCOCCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
171,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)COCCCCCC=CC=CC=CC=CC=Cc2ccccc2C)C1
172,C=CCC=CC=CC=CC=CC=CC=CC=CCC=COCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
173,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=COCCCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
174,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=CCC=CC=CC=CC=CC=CC=CC=Cc2ccccc2)C1
175,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CCOCC=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
176,C=CC=CC=CC=CC=CC=CC=CC=CC=CCCCOCCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
177,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCCOCC=CC=CC=CC=CC=CC=Cc2ccccc2)C1
178,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCCOC=CCC=CC=CC=CC=CC=CC=C(C)CCC)C1
179,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCCOCCCC=CC=CC=CC=CC=Cc2ccccc2)C1
180,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)COCCCCCC=CC=CC=CC=C2C=CC=CC2C=O)C1
181,C#CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
182,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCOC=CC=CC=CC=CC=CC=CC=C(C)CCCCCC)C1
183,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCOCC=CC=CC=CC=CC=CC=CC=CC=CC(N)=O)C1
184,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=COCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
185,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCC=CC=CC=CC=CC=CC=C2C=CC=CC2CC=CC)C1
186,C=CC=CC1C=CC=CC1=CC=CC=CC=CCCCCCOCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
187,C#CC=CC=CC=CC=CC=CC=CC=CC=CCC=COCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
188,C#CC=CC=CC=CC=CC=CC=CC=CCC=COCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
189,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCCOC=CCC=CC=CC=CC=CC=CC=CC=CC=CC)C1
190,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCCCCOC=CC=CC=CC=CC=CC=CC=CC=CC=CC)C1
191,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=CCOC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC)C1
192,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCCOC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC)C1
193,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCCOC=CC=CC=CC=CC=C(C)CCCCCCCC)C1
194,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=CC=CC=CC=CC=CC=CC=CC=CC=C(C)CCC=C)C1
195,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCCCCCC(C)CCCCCCCCCCCCCCC)C1
196,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCOC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC)C1
197,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCCC=CC=C(C)CCCCCCCCCCCCCCC)C1
198,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCCOCCC=CC=CC=CC=C2C=CC=CC2C=O)C1
199,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCCCOC=CCC=CC=CC=CC=CC=CC=C(C)CCN)C1
200,C=CC=CC=CC=CC=CC=CC=CC=CCC=COCCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
201,C#CC=CC=CC=CC=CC=CC=CC=CC=CC=COCCCCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCC=C)C1
202,C=CCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CCOCCC=CC=CC=CC=CC=CC=CC=CC=C(C)CC)C1
